id,lng,lat,total_2019,total_2013,difference
1082,121.5240875,31.35975471,0.325200113,0.331606092,-0.006405979
1083,121.5245977,31.35987662,0.322162967,0.337369755,-0.015206788
1084,121.5251191,31.3598655,0.326459975,0.415776008,-0.089316033
1085,121.5225758,31.36002262,0.381001006,0.369542386,0.01145862
1177,121.5490752,31.36405857,0.405820093,0.27669337,0.129126723
1178,121.5495653,31.36387282,0.30353506,0.250234432,0.053300628
1179,121.550059,31.36369984,0.432400777,0.280835434,0.151565343
1180,121.55055,31.36352929,0.470815668,0.282187578,0.18862809
1182,121.5515278,31.36317345,0.406803045,0.255451631,0.151351414
1183,121.5520145,31.36298072,0.383966096,0.309206411,0.074759685
1185,121.5530036,31.36263754,0.353583334,0.282063334,0.07152
1186,121.5534915,31.36244753,0.361417009,0.292668328,0.068748681
1187,121.553978,31.36225453,0.454526908,0.296295813,0.158231095
1188,121.5544775,31.36209637,0.464847787,0.294786908,0.170060879
1189,121.5549623,31.36189729,0.380476967,0.289071784,0.091405183
1191,121.5559508,31.36154725,0.379661191,0.278361534,0.101299657
1193,121.5569386,31.36118875,0.400321601,0.283575005,0.116746596
1194,121.5574363,31.36101878,0.409115747,0.307158139,0.101957608
1195,121.5579237,31.36082276,0.336525856,0.273363653,0.063162203
1196,121.5584227,31.36065655,0.547002376,0.299514438,0.247487938
1197,121.5589217,31.36049034,0.432037178,0.284500359,0.147536819
1199,121.5599147,31.36014771,0.565169992,0.4575222,0.107647792
1201,121.5608914,31.35977651,0.379586072,0.291678946,0.087907126
1202,121.5613788,31.35959637,0.347093648,0.255318123,0.091775525
1203,121.5618713,31.35942741,0.383448432,0.263275608,0.120172824
1204,121.5623669,31.3592572,0.349600022,0.25562392,0.093976102
1206,121.5633501,31.3588953,0.31482899,0.23381337,0.08101562
1213,121.5667991,31.35767689,0.276277916,0.325774842,-0.049496926
1214,121.5672861,31.35748372,0.258800288,0.351614622,-0.092814334
1275,121.4210719,31.35455623,0.659151246,0.683925016,-0.02477377
1276,121.4222619,31.35425425,0.748067856,0.641005799,0.107062057
1277,121.4224454,31.35376204,0.539267713,0.450855719,0.088411994
1278,121.4226139,31.3532638,0.747808289,0.709123852,0.038684437
1279,121.4228059,31.35277469,0.729592367,0.624142982,0.105449385
1280,121.4229832,31.35227959,0.751800602,0.695404684,0.056395918
1281,121.4231612,31.35178518,0.657068051,0.603957205,0.053110846
1282,121.4233367,31.35129035,0.372546885,0.364585517,0.007961368
1287,121.421275,31.35509617,0.748787001,0.692670011,0.05611699
1288,121.4239676,31.35502488,0.742152707,0.763097621,-0.020944914
1289,121.4218864,31.35519742,0.754704275,0.706516668,0.048187607
1290,121.4226143,31.35539285,0.755462196,0.695664126,0.05979807
1291,121.4231609,31.3554588,0.749903385,0.744516133,0.005387252
1293,121.4254715,31.35535253,0.744987042,0.768111063,-0.023124021
1294,121.4259809,31.35546355,0.750015111,0.76483839,-0.014823279
1295,121.4264906,31.35558135,0.772319602,0.770632322,0.00168728
1296,121.4270006,31.35569481,0.769592988,0.770692448,-0.00109946
1299,121.4298699,31.35339358,0.47996433,0.4427296,0.03723473
1303,121.4298174,31.35480903,0.308985256,0.363268365,-0.054283109
1309,121.4293634,31.35633222,0.265813222,0.289719619,-0.023906397
1311,121.4279789,31.35594807,0.682845246,0.701983758,-0.019138512
1318,121.4327313,31.35715133,0.742831658,0.700546517,0.042285141
1319,121.4329677,31.35668153,0.743128076,0.761616764,-0.018488688
1320,121.4332022,31.35621075,0.685434761,0.731036513,-0.045601752
1321,121.4334368,31.35573996,0.700743479,0.741142056,-0.040398577
1322,121.4336713,31.35526918,0.694371033,0.50122745,0.193143583
1323,121.4339059,31.3547984,0.711208149,0.578046871,0.133161278
1329,121.4470254,31.35930632,0.363577745,0.357938239,0.005639506
1330,121.4424458,31.35899822,0.597801727,0.453583604,0.144218123
1331,121.4419226,31.35895245,0.67527283,0.592096518,0.083176312
1332,121.4413967,31.35895298,0.5996766,0.647609353,-0.047932753
1333,121.4434886,31.3591049,0.452239762,0.32432219,0.127917572
1341,121.4429715,31.35902168,0.6177191,0.411164789,0.206554311
1348,121.4413976,31.35849283,0.576835765,0.626940973,-0.050105208
1349,121.441641,31.35802814,0.580723249,0.580406359,0.00031689
1350,121.4417903,31.35752784,0.611974809,0.426509725,0.185465084
1351,121.4416417,31.35702853,0.567701704,0.5712445,-0.003542796
1352,121.4413923,31.35656623,0.284020091,0.316740623,-0.032720532
1370,121.4553013,31.35641464,0.230802033,0.232304689,-0.001502656
1371,121.4550963,31.35692475,0.23619048,0.233828987,0.002361493
1372,121.4559253,31.35488467,0.235602779,0.241727431,-0.006124652
1373,121.4557369,31.35537529,0.235475601,0.230091719,0.005383882
1374,121.4644237,31.35740261,0.735623558,0.679771834,0.055851724
1375,121.4639376,31.35721054,0.697483661,0.711592326,-0.014108665
1376,121.4634572,31.35700477,0.739293371,0.736004021,0.00328935
1377,121.4629813,31.35678451,0.681026693,0.498706122,0.182320571
1378,121.4624951,31.35659255,0.636594544,0.443773864,0.19282068
1379,121.462014,31.35638926,0.732202388,0.596503117,0.135699271
1380,121.46153,31.35619076,0.565545407,0.476752562,0.088792845
1381,121.4610531,31.35597355,0.544515547,0.452038816,0.092476731
1382,121.4605674,31.35578052,0.43139212,0.389265071,0.042127049
1383,121.4600818,31.3555873,0.611503619,0.364912628,0.246590991
1384,121.4596029,31.35537697,0.309118975,0.292269942,0.016849033
1385,121.459119,31.35517795,0.445348347,0.39878156,0.046566787
1386,121.4586398,31.35496831,0.458519328,0.38927474,0.069244588
1387,121.458154,31.35477533,0.541486381,0.407315956,0.134170425
1388,121.4576675,31.35458183,0.302675466,0.32389825,-0.021222784
1389,121.4571901,31.35436483,0.39976375,0.358852359,0.040911391
1390,121.4567052,31.35416645,0.569202208,0.482834695,0.086367513
1436,121.4847113,31.35610547,0.707651192,0.734758421,-0.027107229
1437,121.4845052,31.35658437,0.708745462,0.610271758,0.098473704
1438,121.484256,31.35704728,0.638643598,0.556814078,0.08182952
1443,121.4848761,31.35742696,0.638643598,0.556814078,0.08182952
1444,121.4850646,31.35693648,0.654221097,0.607313856,0.046907241
